,market_ticker,end_period_ts,mean_dollars,previous_dollars,open_interest_fp,volume_fp,open_dollars,close_dollars,high_dollars,low_dollars,ask_close_dollars,bid_close_dollars,ask_high_dollars,bid_high_dollars,ask_low_dollars,bid_low_dollars,ask_open_dollars,bid_open_dollars,price,yes_ask,yes_bid
8091,KXMLBGAME-26APR191610TEXSEA-SEA,1776639600,0.9669,0.96,235755.41,79253.85,0.96,0.99,0.99,0.9,1.0,0.99,1.0,0.99,0.92,0.88,0.96,0.95,"{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.9000', 'mean_dollars': '0.9669', 'open_dollars': '0.9600', 'previous_dollars': '0.9600'}","{'close_dollars': '1.0000', 'high_dollars': '1.0000', 'low_dollars': '0.9200', 'open_dollars': '0.9600'}","{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.8800', 'open_dollars': '0.9500'}"
8092,KXMLBGAME-26APR191607SDLAA-SD,1776610800,0.5199,0.52,49618.83,5766.31,0.52,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.52,0.51,0.52,0.51,"{'close_dollars': '0.5200', 'high_dollars': '0.5200', 'low_dollars': '0.5100', 'mean_dollars': '0.5199', 'open_dollars': '0.5200', 'previous_dollars': '0.5200'}","{'close_dollars': '0.5200', 'high_dollars': '0.5200', 'low_dollars': '0.5200', 'open_dollars': '0.5200'}","{'close_dollars': '0.5100', 'high_dollars': '0.5100', 'low_dollars': '0.5100', 'open_dollars': '0.5100'}"
8093,KXMLBGAME-26APR191607SDLAA-SD,1776614400,0.5262,0.52,57679.64,8093.81,0.52,0.52,0.53,0.51,0.53,0.52,0.53,0.52,0.52,0.51,0.52,0.51,"{'close_dollars': '0.5200', 'high_dollars': '0.5300', 'low_dollars': '0.5100', 'mean_dollars': '0.5262', 'open_dollars': '0.5200', 'previous_dollars': '0.5200'}","{'close_dollars': '0.5300', 'high_dollars': '0.5300', 'low_dollars': '0.5200', 'open_dollars': '0.5200'}","{'close_dollars': '0.5200', 'high_dollars': '0.5200', 'low_dollars': '0.5100', 'open_dollars': '0.5100'}"
8094,KXMLBGAME-26APR191607SDLAA-SD,1776618000,0.5287,0.52,63551.00,6722.36,0.53,0.53,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.52,0.53,0.52,"{'close_dollars': '0.5300', 'high_dollars': '0.5300', 'low_dollars': '0.5200', 'mean_dollars': '0.5287', 'open_dollars': '0.5300', 'previous_dollars': '0.5200'}","{'close_dollars': '0.5300', 'high_dollars': '0.5300', 'low_dollars': '0.5300', 'open_dollars': '0.5300'}","{'close_dollars': '0.5200', 'high_dollars': '0.5200', 'low_dollars': '0.5200', 'open_dollars': '0.5200'}"
8095,KXMLBGAME-26APR191607SDLAA-SD,1776621600,0.533,0.53,136759.10,74982.42,0.52,0.57,0.57,0.52,0.57,0.56,0.57,0.56,0.53,0.52,0.53,0.52,"{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5200', 'mean_dollars': '0.5330', 'open_dollars': '0.5200', 'previous_dollars': '0.5300'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5300', 'open_dollars': '0.5300'}","{'close_dollars': '0.5600', 'high_dollars': '0.5600', 'low_dollars': '0.5200', 'open_dollars': '0.5200'}"
8096,KXMLBGAME-26APR191607SDLAA-SD,1776625200,0.5799,0.57,149596.78,16123.79,0.57,0.58,0.58,0.57,0.58,0.57,0.58,0.57,0.57,0.56,0.57,0.56,"{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'mean_dollars': '0.5799', 'open_dollars': '0.5700', 'previous_dollars': '0.5700'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'open_dollars': '0.5700'}","{'close_dollars': '0.5700', 'high_dollars': '0.5700', 'low_dollars': '0.5600', 'open_dollars': '0.5600'}"
8097,KXMLBGAME-26APR191607SDLAA-SD,1776628800,0.587,0.58,202097.94,54183.16,0.58,0.59,0.59,0.57,0.59,0.58,0.59,0.58,0.58,0.57,0.58,0.57,"{'close_dollars': '0.5900', 'high_dollars': '0.5900', 'low_dollars': '0.5700', 'mean_dollars': '0.5870', 'open_dollars': '0.5800', 'previous_dollars': '0.5800'}","{'close_dollars': '0.5900', 'high_dollars': '0.5900', 'low_dollars': '0.5800', 'open_dollars': '0.5800'}","{'close_dollars': '0.5800', 'high_dollars': '0.5800', 'low_dollars': '0.5700', 'open_dollars': '0.5700'}"
8098,KXMLBGAME-26APR191607SDLAA-SD,1776632400,0.5445,0.59,386759.08,259661.57,0.59,0.57,0.62,0.4,0.59,0.56,0.64,0.6,0.42,0.34,0.59,0.58,"{'close_dollars': '0.5700', 'high_dollars': '0.6200', 'low_dollars': '0.4000', 'mean_dollars': '0.5445', 'open_dollars': '0.5900', 'previous_dollars': '0.5900'}","{'close_dollars': '0.5900', 'high_dollars': '0.6400', 'low_dollars': '0.4200', 'open_dollars': '0.5900'}","{'close_dollars': '0.5600', 'high_dollars': '0.6000', 'low_dollars': '0.3400', 'open_dollars': '0.5800'}"
8099,KXMLBGAME-26APR191607SDLAA-SD,1776636000,0.6543,0.57,650883.32,298109.38,0.59,0.69,0.73,0.54,0.69,0.68,0.73,0.71,0.54,0.51,0.59,0.56,"{'close_dollars': '0.6900', 'high_dollars': '0.7300', 'low_dollars': '0.5400', 'mean_dollars': '0.6543', 'open_dollars': '0.5900', 'previous_dollars': '0.5700'}","{'close_dollars': '0.6900', 'high_dollars': '0.7300', 'low_dollars': '0.5400', 'open_dollars': '0.5900'}","{'close_dollars': '0.6800', 'high_dollars': '0.7100', 'low_dollars': '0.5100', 'open_dollars': '0.5600'}"
8100,KXMLBGAME-26APR191607SDLAA-SD,1776639600,0.7949,0.69,1046014.27,749984.27,0.69,0.99,0.99,0.65,1.0,0.99,1.0,0.99,0.66,0.61,0.69,0.68,"{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.6500', 'mean_dollars': '0.7949', 'open_dollars': '0.6900', 'previous_dollars': '0.6900'}","{'close_dollars': '1.0000', 'high_dollars': '1.0000', 'low_dollars': '0.6600', 'open_dollars': '0.6900'}","{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.6100', 'open_dollars': '0.6800'}"
8101,KXMLBGAME-26APR191607SDLAA-SD,1776643200,0.99,0.99,1046014.27,46222.80,0.99,0.99,0.99,0.99,1.0,0.99,1.0,0.99,1.0,0.99,1.0,0.99,"{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.9900', 'mean_dollars': '0.9900', 'open_dollars': '0.9900', 'previous_dollars': '0.9900'}","{'close_dollars': '1.0000', 'high_dollars': '1.0000', 'low_dollars': '1.0000', 'open_dollars': '1.0000'}","{'close_dollars': '0.9900', 'high_dollars': '0.9900', 'low_dollars': '0.9900', 'open_dollars': '0.9900'}"
8102,KXMLBGAME-26APR191607SDLAA-LAA,1776610800,0.499,0.5,22309.64,925.23,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,"{'close_dollars': '0.4900', 'high_dollars': '0.5000', 'low_dollars': '0.4900', 'mean_dollars': '0.4990', 'open_dollars': '0.5000', 'previous_dollars': '0.5000'}","{'close_dollars': '0.5000', 'high_dollars': '0.5000', 'low_dollars': '0.5000', 'open_dollars': '0.5000'}","{'close_dollars': '0.4900', 'high_dollars': '0.4900', 'low_dollars': '0.4900', 'open_dollars': '0.4900'}"
8103,KXMLBGAME-26APR191607SDLAA-LAA,1776614400,0.4964,0.49,24238.36,1928.72,0.49,0.49,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,"{'close_dollars': '0.4900', 'high_dollars': '0.5000', 'low_dollars': '0.4900', 'mean_dollars': '0.4964', 'open_dollars': '0.4900', 'previous_dollars': '0.4900'}","{'close_dollars': '0.5000', 'high_dollars': '0.5000', 'low_dollars': '0.5000', 'open_dollars': '0.5000'}","{'close_dollars': '0.4900', 'high_dollars': '0.4900', 'low_dollars': '0.4900', 'open_dollars': '0.4900'}"
8104,KXMLBGAME-26APR191607SDLAA-LAA,1776618000,0.4989,0.49,27645.44,3517.08,0.5,0.5,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,0.5,0.49,"{'close_dollars': '0.5000', 'high_dollars': '0.5000', 'low_dollars': '0.4900', 'mean_dollars': '0.4989', 'open_dollars': '0.5000', 'previous_dollars': '0.4900'}","{'close_dollars': '0.5000', 'high_dollars': '0.5000', 'low_dollars': '0.5000', 'open_dollars': '0.5000'}","{'close_dollars': '0.4900', 'high_dollars': '0.4900', 'low_dollars': '0.4900', 'open_dollars': '0.4900'}"
8105,KXMLBGAME-26APR191607SDLAA-LAA,1776621600,0.4751,0.5,48035.89,23120.81,0.5,0.44,0.5,0.44,0.44,0.43,0.5,0.49,0.44,0.43,0.5,0.49,"{'close_dollars': '0.4400', 'high_dollars': '0.5000', 'low_dollars': '0.4400', 'mean_dollars': '0.4751', 'open_dollars': '0.5000', 'previous_dollars': '0.5000'}","{'close_dollars': '0.4400', 'high_dollars': '0.5000', 'low_dollars': '0.4400', 'open_dollars': '0.5000'}","{'close_dollars': '0.4300', 'high_dollars': '0.4900', 'low_dollars': '0.4300', 'open_dollars': '0.4900'}"
8106,KXMLBGAME-26APR191607SDLAA-LAA,1776625200,0.4294,0.44,58828.65,11667.41,0.44,0.43,0.44,0.42,0.43,0.42,0.44,0.43,0.43,0.42,0.44,0.43,"{'close_dollars': '0.4300', 'high_dollars': '0.4400', 'low_dollars': '0.4200', 'mean_dollars': '0.4294', 'open_dollars': '0.4400', 'previous_dollars': '0.4400'}","{'close_dollars': '0.4300', 'high_dollars': '0.4400', 'low_dollars': '0.4300', 'open_dollars': '0.4400'}","{'close_dollars': '0.4200', 'high_dollars': '0.4300', 'low_dollars': '0.4200', 'open_dollars': '0.4300'}"
8107,KXMLBGAME-26APR191607SDLAA-LAA,1776628800,0.429,0.43,85046.72,27320.97,0.43,0.43,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,0.43,0.42,"{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4200', 'mean_dollars': '0.4290', 'open_dollars': '0.4300', 'previous_dollars': '0.4300'}","{'close_dollars': '0.4300', 'high_dollars': '0.4300', 'low_dollars': '0.4300', 'open_dollars': '0.4300'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}"
8108,KXMLBGAME-26APR191607SDLAA-LAA,1776632400,0.459,0.43,235058.96,176376.44,0.43,0.43,0.6,0.39,0.47,0.4,0.63,0.59,0.4,0.37,0.43,0.42,"{'close_dollars': '0.4300', 'high_dollars': '0.6000', 'low_dollars': '0.3900', 'mean_dollars': '0.4590', 'open_dollars': '0.4300', 'previous_dollars': '0.4300'}","{'close_dollars': '0.4700', 'high_dollars': '0.6300', 'low_dollars': '0.4000', 'open_dollars': '0.4300'}","{'close_dollars': '0.4000', 'high_dollars': '0.5900', 'low_dollars': '0.3700', 'open_dollars': '0.4200'}"
8109,KXMLBGAME-26APR191607SDLAA-LAA,1776636000,0.3577,0.43,435870.85,266114.65,0.47,0.33,0.51,0.27,0.33,0.31,0.51,0.46,0.27,0.26,0.47,0.4,"{'close_dollars': '0.3300', 'high_dollars': '0.5100', 'low_dollars': '0.2700', 'mean_dollars': '0.3577', 'open_dollars': '0.4700', 'previous_dollars': '0.4300'}","{'close_dollars': '0.3300', 'high_dollars': '0.5100', 'low_dollars': '0.2700', 'open_dollars': '0.4700'}","{'close_dollars': '0.3100', 'high_dollars': '0.4600', 'low_dollars': '0.2600', 'open_dollars': '0.4000'}"
8110,KXMLBGAME-26APR191607SDLAA-LAA,1776639600,0.2087,0.33,874500.61,723947.92,0.31,0.01,0.36,0.01,0.01,0.0,0.38,0.34,0.01,0.0,0.33,0.31,"{'close_dollars': '0.0100', 'high_dollars': '0.3600', 'low_dollars': '0.0100', 'mean_dollars': '0.2087', 'open_dollars': '0.3100', 'previous_dollars': '0.3300'}","{'close_dollars': '0.0100', 'high_dollars': '0.3800', 'low_dollars': '0.0100', 'open_dollars': '0.3300'}","{'close_dollars': '0.0000', 'high_dollars': '0.3400', 'low_dollars': '0.0000', 'open_dollars': '0.3100'}"
8111,KXMLBGAME-26APR191607SDLAA-LAA,1776643200,0.01,0.01,876443.39,3085.78,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,"{'close_dollars': '0.0100', 'high_dollars': '0.0100', 'low_dollars': '0.0100', 'mean_dollars': '0.0100', 'open_dollars': '0.0100', 'previous_dollars': '0.0100'}","{'close_dollars': '0.0100', 'high_dollars': '0.0100', 'low_dollars': '0.0100', 'open_dollars': '0.0100'}","{'close_dollars': '0.0000', 'high_dollars': '0.0000', 'low_dollars': '0.0000', 'open_dollars': '0.0000'}"
8112,KXMLBGAME-26APR191605CWSATH-CWS,1776610800,0.4153,0.42,12172.84,912.01,0.42,0.42,0.42,0.41,0.42,0.41,0.42,0.41,0.42,0.41,0.42,0.41,"{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4100', 'mean_dollars': '0.4153', 'open_dollars': '0.4200', 'previous_dollars': '0.4200'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}","{'close_dollars': '0.4100', 'high_dollars': '0.4100', 'low_dollars': '0.4100', 'open_dollars': '0.4100'}"
8113,KXMLBGAME-26APR191605CWSATH-CWS,1776614400,0.417,0.42,12908.32,752.54,0.42,0.42,0.42,0.41,0.42,0.41,0.42,0.41,0.42,0.41,0.42,0.41,"{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4100', 'mean_dollars': '0.4170', 'open_dollars': '0.4200', 'previous_dollars': '0.4200'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}","{'close_dollars': '0.4100', 'high_dollars': '0.4100', 'low_dollars': '0.4100', 'open_dollars': '0.4100'}"
8114,KXMLBGAME-26APR191605CWSATH-CWS,1776618000,0.4113,0.42,13807.87,3201.38,0.42,0.42,0.42,0.41,0.42,0.41,0.42,0.41,0.42,0.41,0.42,0.41,"{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4100', 'mean_dollars': '0.4113', 'open_dollars': '0.4200', 'previous_dollars': '0.4200'}","{'close_dollars': '0.4200', 'high_dollars': '0.4200', 'low_dollars': '0.4200', 'open_dollars': '0.4200'}","{'close_dollars': '0.4100', 'high_dollars': '0.4100', 'low_dollars': '0.4100', 'open_dollars': '0.4100'}"
